afile	alang	akorp	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	shortpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
GO_POPSCI_006	de	croco	ref	26.0285714286	0.0301866081	0.0109769484	0.0002744237	0.7928571429	0.0214285714	0.3071428571	0.05	0.0357142857	0.3642857143	1.3357142857	0.2285714286	0.4220636663	0.942979767	0.0161909989	0.3071428571	0.7994722955	0.092348285	0.0079155673	0.2480211082	0.0357142857	0.2714285714	0.5	0.3928571429	0.1357142857	0.2357142857	0.2357142857	0.0928571429	0.0785714286	0.0305602716	0.0067911715	0.1857142857	0.8503401361	0.4761904762	0.0101536773	0.5560640732	3.3056515385	2.2533131071	0.0975466521	0.1647183693	0.1107260653	0.055153822	0.0661814942	0.0396906382	0.0515877924
GO_TOU_018	de	croco	ref	28.1538461538	0.0087431694	0.0038251366	0	1.2615384615	0	0.1076923077	0.0153846154	0.0153846154	0.2307692308	1.8923076923	0.0923076923	0.3770491803	0.9787234043	0.0043715847	0.1076923077	0.8108108108	0.0720720721	0.009009009	0.2252252252	0.0615384615	0.0615384615	0.0615384615	0.2	0.0307692308	0.0307692308	0.2461538462	0	0	0.0727272727	0.0136363636	0.0461538462	0.3939393939	0.7121212121	0.0021857923	0.7404580153	3.3555640221	2.2162232916	0.1060606061	0.1275252525	0.1123737374	0.0050505051	0.0315656566	0.0404040404	0.0416666667
GO_INSTR_009	de	croco	ref	16.5922330097	0.0430076068	0.0017554125	0.0002925688	0.5388349515	0.0048543689	0.067961165	0.0097087379	0.0097087379	0.0776699029	0.6990291262	0.0485436893	0.4122293739	0.957201087	0.003510825	0.3203883495	0.7692307692	0.0236686391	0.0177514793	0.2455621302	0.0048543689	0.1941747573	0.1844660194	0.0631067961	0.0145631068	0.0776699029	0.1893203883	0.0097087379	0.0048543689	0.0338983051	0.0084745763	0.1699029126	0.4170616114	0.6587677725	0.0055588063	0.6048192771	3.0898564917	1.573262231	0.0741367637	0.1953345233	0.0809226319	0.0106635071	0.0744383579	0.0228390882	0.0452268111
GO_POPSCI_010	de	croco	ref	19.5573770492	0.0223526125	0.0033528919	0.0016764459	0.5519125683	0.0054644809	0.1530054645	0.0109289617	0.0273224044	0.3114754098	1.4153005464	0.131147541	0.4666107851	0.9858323495	0.0215143895	0.1256830601	0.8106508876	0.0946745562	0.0147928994	0.325443787	0.0054644809	0.1639344262	0.2950819672	0.1803278689	0.131147541	0.1366120219	0.262295082	0.0546448087	0.0765027322	0.0539419087	0.0082987552	0.1967213115	0.5027027027	0.6432432432	0.0120145292	0.5284974093	3.1574961446	1.9011508923	0.0869369369	0.1349249249	0.073048048	0.0314114114	0.0515765766	0.010990991	0.0357657658
GO_TOU_017	de	croco	ref	22.8695652174	0.0057034221	0.0019011407	0.0019011407	0.9565217391	0	0	0	0	0.2173913043	1.8695652174	0.1304347826	0.391634981	0.9903846154	0.0114068441	0.2608695652	0.7631578947	0.1578947368	0.0263157895	0.1578947368	0	0.1304347826	0.0434782609	0.0869565217	0.0434782609	0	0.0434782609	0	0	0.0394736842	0.0263157895	0.0869565217	0.375	0.75	0.0076045627	0.7352941176	3.5497106046	1.8110959442	0.0104166667	0.1111111111	0.0486111111	0	0.0590277778	0.0416666667	0.1319444444
GO_TOU_010	de	croco	ref	19.4432989691	0.0090137858	0.0053022269	0	0.9278350515	0.0103092784	0.1340206186	0.0103092784	0	0.2268041237	1.0412371134	0.0412371134	0.4337221633	0.9915151515	0.0084835631	0.2164948454	0.7564102564	0.0705128205	0.0256410256	0.1602564103	0.0206185567	0.0927835052	0.0206185567	0.1649484536	0.0309278351	0.0103092784	0.0721649485	0.0103092784	0	0.0480349345	0.0174672489	0.0824742268	0.412371134	0.7010309278	0.006892895	0.6708074534	3.1437593397	1.7599818393	0.1113402062	0.1195017182	0.0474226804	0	0.043556701	0.0222508591	0.0719931271
GO_INSTR_001	de	croco	ref	18.4523809524	0.0135483871	0.0006451613	0	0.4285714286	0	0.0357142857	0	0	0.1428571429	0.7976190476	0.0952380952	0.3748387097	0.9748322148	0.0051612903	0.369047619	0.7638888889	0.0416666667	0.0208333333	0.0694444444	0	0.5238095238	0.119047619	0.0714285714	0.0476190476	0.0238095238	0.25	0.0119047619	0.0238095238	0.0440251572	0	0.1428571429	0.369047619	0.6666666667	0.0058064516	0.7264150943	3.0450563799	1.7235472391	0.0497165533	0.1131094104	0.212329932	0.0159863946	0.1619189342	0.0248015873	0.0297619048
GO_WEB_011	de	croco	ref	20.3734939759	0.0558840923	0.020993495	0.0017740982	0.8493975904	0.0240963855	0.1506024096	0.0120481928	0.0060240964	0.234939759	0.9819277108	0.2048192771	0.4207569486	0.9840940526	0.010644589	0.2469879518	0.7857142857	0.1055900621	0.0124223602	0.1583850932	0.0120481928	0.0662650602	0.1987951807	0.2048192771	0.0903614458	0.1084337349	0.2771084337	0.0542168675	0	0.0417457306	0.0037950664	0.0662650602	0.5301204819	0.6325301205	0.0073920757	0.4150485437	3.0306655943	1.8718555875	0.0953815261	0.1539156627	0.0408634538	0.0167670683	0.0273092369	0.0062248996	0.0332329317
GO_WEB_008	de	croco	ref	16.0763052209	0.0394703972	0.0234823882	0.0002498126	0.5261044177	0.016064257	0.1004016064	0.0040160643	0	0.1887550201	0.8032128514	0.4497991968	0.4181863602	0.9899467771	0.0174868848	0.1606425703	0.8855140187	0.0654205607	0.0140186916	0.0864485981	0.016064257	0.0682730924	0.1365461847	0.0963855422	0.1004016064	0.0562248996	0.1927710843	0.0481927711	0.0401606426	0.0546448087	0.0127504554	0.1204819277	0.412	0.668	0.006245316	0.5625	2.9437638486	1.5541705056	0.1003380952	0.160847619	0.0467761905	0.0131714286	0.0319428571	0.0121	0.0457428571
GO_SPEECH_018	de	croco	ref	21.3181818182	0.0533049041	0.0138592751	0	1.0909090909	0	0.2272727273	0	0.0454545455	0.2272727273	0.9090909091	0.2045454545	0.3923240938	0.9839572193	0.0042643923	0.25	0.7741935484	0.0967741935	0	0.247311828	0.0227272727	0.0681818182	0.2045454545	0.2727272727	0.0681818182	0.0681818182	0.1363636364	0.0227272727	0	0.0430107527	0.0215053763	0.1136363636	0.5555555556	0.6	0.0149253731	0.4166666667	3.1486029457	1.9580667963	0.1259259259	0.2615669516	0.0487464387	0.0135612536	0.0505982906	0.0111111111	0.0649002849
GO_FICTION_008	de	croco	ref	18.4898989899	0.0661021579	0.0106528271	0.0010925977	0.5101010101	0.0404040404	0.2828282828	0.0404040404	0.0202020202	0.3181818182	0.4646464646	0.4949494949	0.3758535919	0.9710656316	0.0150232177	0.1666666667	0.9024390244	0.0634146341	0.0073170732	0.056097561	0.0151515152	0.0808080808	0.2171717172	0.0909090909	0.0656565657	0.0606060606	0.2828282828	0.0555555556	0.0858585859	0.0391705069	0	0.1919191919	0.675	0.545	0.0051898388	0.3457556936	2.8892697137	1.5830340047	0.1622639444	0.182897644	0.0373153513	0.0318391608	0.0384307359	0.0347655678	0.0355512821
GO_TOU_016	de	croco	ref	19.2068965517	0.0071813285	0.0035906643	0	0.7931034483	0.0344827586	0.0344827586	0.0344827586	0	0.1034482759	0.8620689655	0.0344827586	0.4165170557	0.9957081545	0.0143626571	0.1379310345	0.8181818182	0.0454545455	0.0227272727	0.0909090909	0.0344827586	0.1724137931	0.1724137931	0.2413793103	0.1034482759	0.0344827586	0.2068965517	0.0344827586	0.0344827586	0.012345679	0.012345679	0.0344827586	0.3793103448	0.6551724138	0.0071813285	0.7567567568	3.2629148833	1.8698138173	0.0344827586	0.0689655172	0.091954023	0.0287356322	0.0804597701	0.0229885057	0.1264367816
GO_SHARE_008	de	croco	ref	17.6433121019	0.0400722022	0.0194945848	0.0003610108	0.6602564103	0.0064102564	0.1217948718	0.0256410256	0.0064102564	0.1923076923	1.0641025641	0.0512820513	0.4534296029	0.9913180742	0.0093862816	0.1346153846	0.7407407407	0.0534979424	0.012345679	0.316872428	0.0128205128	0.0320512821	0.0769230769	0.2884615385	0.0641025641	0.0833333333	0.2115384615	0.0128205128	0.0448717949	0.075	0.005	0.0705128205	0.3231707317	0.7256097561	0.0104693141	0.5394736842	3.2411460052	1.7645868587	0.0905487805	0.206402439	0.0330284553	0.0156504065	0.0225609756	0.0301829268	0.0325203252
GO_FICTION_001	de	croco	ref	24.0769230769	0.04685836	0.0095846645	0.0005324814	0.8782051282	0.0448717949	0.2884615385	0.0128205128	0.0128205128	0.2948717949	0.8269230769	0.358974359	0.4030883919	0.9711353432	0.012513312	0.1730769231	0.8155339806	0.0752427184	0.0169902913	0.0412621359	0	0.0833333333	0.2435897436	0.1474358974	0.0833333333	0.141025641	0.2243589744	0.0320512821	0.0769230769	0.0651260504	0.0021008403	0.3076923077	0.8343949045	0.4968152866	0.0063897764	0.4834024896	3.1097502552	1.728376457	0.1354109797	0.1622232332	0.0467394601	0.0278283288	0.020048529	0.0572186837	0.0616924477
GO_FICTION_009	de	croco	ref	38.3936170213	0.0465502909	0.0266001663	0.0013854253	1.597826087	0.0326086957	0.4782608696	0.1739130435	0.0434782609	0.3913043478	2	0.7717391304	0.4114713217	0.9724950884	0.0207813799	0.3586956522	0.8621794872	0.0480769231	0.0192307692	0.1506410256	0	0.097826087	0.5652173913	0.25	0.25	0.0760869565	0.4239130435	0.152173913	0.1086956522	0.0429042904	0.004950495	0.347826087	1.1844660194	0.4174757282	0.0066500416	0.4379746835	3.786275202	2.4839796199	0.1578576763	0.2238148583	0.0198406771	0.0407331342	0.0153721683	0.021377894	0.0422445677
